Name,Age_final,Month_BirthDay,Quarter_REA,Half_REA,Cadet_Win,Cadet_Success,Cadet_Part,Junior_Win,Junior_Success,Junior_Part,Senior_Win_CC,Senior_Success_CC,Senior_Part_CC,Senior_Win_WC,Senior_Success_WC,Senior_Part_WC,target_rank,target_group,target_medalist
"Yarahmadi, Peyman",23,4,2,0,1,2,2,0,2,2,1,1,1,0,0,0,22.0,2.0,1
"Yasar, Selim",27,2,1,0,0,0,0,3,3,3,0,0,1,0,2,2,7.0,1.0,1
"Yatsenko, Andrey",20,9,3,1,3,6,6,0,1,3,0,1,1,0,0,0,3.0,0.0,0
"Yazdani Charati, Hassan",23,12,4,1,0,2,2,2,2,2,0,0,0,0,1,1,1.0,0.0,0
"Yildirim, Riza",30,5,2,0,1,1,1,1,5,5,0,0,1,0,0,1,19.0,2.0,1
"Yun, Jun-Sik",26,8,3,1,0,0,0,1,1,4,0,1,2,0,0,0,13.0,2.0,1
"Zasieiev, Alen",29,10,4,1,1,1,1,1,2,2,0,2,2,0,1,3,18.0,2.0,1
"Zhang, Haiming",23,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,2.0,1
"Zholdoshbekov, Ulukbek",21,2,1,0,1,2,5,1,1,4,0,1,1,0,0,0,29.0,2.0,1
"Zou, Wanhao",19,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,20.0,2.0,1
"Abakarov, Abubakr",19,1,1,0,1,2,2,1,3,4,0,0,0,0,0,0,8.0,1.0,1
"Abdurakhmanov, Bekzod",28,3,1,0,0,0,0,0,0,0,3,3,3,0,1,3,3.0,0.0,0
"Abou Nader, Domenic Michael",23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,2.0,1
Adanabasier,23,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,2.0,1
"Aguon III, Paul San Nicholas",18,6,2,0,0,1,1,2,4,4,0,0,0,0,0,0,21.0,2.0,1
"Aibuev, Akhmed",27,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,28.0,2.0,1
"Akbarizarinkolaei, Essadollah",26,8,3,1,0,0,0,0,0,0,0,1,1,0,1,1,5.0,1.0,1
"Akgul, Taha",28,11,4,1,0,0,0,0,1,2,5,5,6,2,4,4,7.0,1.0,1
